期号,开奖日期,前区1,前区2,前区3,前区4,前区5,后区1,后区2
2026079,2026-07-15,06,08,23,26,27,05,12
2026078,2026-07-13,02,13,20,25,32,08,11
2026077,2026-07-11,04,14,19,24,27,06,07
2026076,2026-07-08,15,20,27,28,35,02,11
2026075,2026-07-06,01,06,16,18,26,04,10
2026074,2026-07-04,01,04,10,23,25,01,12
2026073,2026-07-01,04,10,22,23,33,02,12
2026072,2026-06-29,01,13,26,29,30,09,11
2026071,2026-06-27,05,13,22,26,32,02,03
2026070,2026-06-24,04,05,15,21,32,02,11
2026069,2026-06-22,12,19,21,24,29,03,10
2026068,2026-06-20,03,11,12,21,22,06,10
2026067,2026-06-17,06,16,18,19,28,07,11
2026066,2026-06-15,10,13,19,21,30,04,05
2026065,2026-06-13,04,11,12,13,25,04,08
2026064,2026-06-10,03,13,15,17,21,02,07
2026063,2026-06-08,03,15,20,29,31,01,12
2026062,2026-06-06,07,15,20,24,29,04,10
2026061,2026-06-03,10,12,26,31,35,02,12
2026060,2026-06-01,22,28,30,31,34,01,05
2026059,2026-05-30,06,13,17,19,26,07,08
